datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2023-10-17,66500.0,66500.0,65780.0,65780.0,65,53,66040.0,CU2410,copper,CU2410
2023-10-18,65890.0,66670.0,65890.0,66600.0,89,92,66540.0,CU2410,copper,CU2410
2023-10-19,66280.0,66360.0,66180.0,66330.0,23,105,66220.0,CU2410,copper,CU2410
2023-10-20,66430.0,66440.0,65900.0,65900.0,31,116,66270.0,CU2410,copper,CU2410
2023-10-23,66050.0,66050.0,65510.0,65640.0,58,146,65690.0,CU2410,copper,CU2410
2023-10-24,65940.0,66270.0,65710.0,66270.0,41,145,66080.0,CU2410,copper,CU2410
2023-10-25,66130.0,66800.0,66130.0,66700.0,49,168,66590.0,CU2410,copper,CU2410
2023-10-26,66520.0,66520.0,66200.0,66320.0,27,182,66400.0,CU2410,copper,CU2410
2023-10-27,66320.0,66610.0,66160.0,66560.0,37,209,66310.0,CU2410,copper,CU2410
2023-10-30,66970.0,67170.0,66860.0,67170.0,27,212,67000.0,CU2410,copper,CU2410
2023-10-31,67300.0,67310.0,66970.0,67080.0,59,238,67020.0,CU2410,copper,CU2410
2023-11-01,66970.0,67120.0,66800.0,66950.0,49,258,66930.0,CU2410,copper,CU2410
2023-11-02,67220.0,67460.0,66440.0,67190.0,86,255,67160.0,CU2410,copper,CU2410
2023-11-03,67360.0,67640.0,67350.0,67560.0,102,329,67450.0,CU2410,copper,CU2410
2023-11-06,67280.0,67440.0,67090.0,67350.0,181,443,67270.0,CU2410,copper,CU2410
2023-11-07,67470.0,67600.0,67200.0,67210.0,52,462,67360.0,CU2410,copper,CU2410
2023-11-08,66800.0,67220.0,66800.0,67200.0,113,516,67020.0,CU2410,copper,CU2410
2023-11-09,67070.0,67250.0,66690.0,66690.0,105,579,66860.0,CU2410,copper,CU2410
2023-11-10,66840.0,67000.0,66770.0,66900.0,16,577,66860.0,CU2410,copper,CU2410
2023-11-13,66630.0,66690.0,66410.0,66630.0,53,603,66560.0,CU2410,copper,CU2410
2023-11-14,66900.0,67080.0,66850.0,67060.0,137,638,66990.0,CU2410,copper,CU2410
2023-11-15,67110.0,67420.0,67050.0,67220.0,103,704,67200.0,CU2410,copper,CU2410
2023-11-16,67300.0,67380.0,67220.0,67330.0,46,735,67300.0,CU2410,copper,CU2410
2023-11-17,67450.0,67500.0,67100.0,67270.0,52,760,67250.0,CU2410,copper,CU2410
2023-11-20,67090.0,67290.0,67090.0,67200.0,33,779,67220.0,CU2410,copper,CU2410
2023-11-21,67280.0,67750.0,67150.0,67680.0,222,897,67600.0,CU2410,copper,CU2410
2023-11-22,67480.0,67780.0,67390.0,67390.0,67,906,67630.0,CU2410,copper,CU2410
2023-11-23,67410.0,67470.0,67160.0,67320.0,91,963,67250.0,CU2410,copper,CU2410
2023-11-24,67460.0,67670.0,67350.0,67650.0,70,988,67460.0,CU2410,copper,CU2410
2023-11-27,67500.0,67740.0,67310.0,67700.0,30,987,67520.0,CU2410,copper,CU2410
2023-11-28,67470.0,67480.0,67270.0,67340.0,53,995,67330.0,CU2410,copper,CU2410
2023-11-29,67530.0,67870.0,67490.0,67680.0,54,1016,67660.0,CU2410,copper,CU2410
2023-11-30,67690.0,67870.0,67520.0,67830.0,44,1013,67630.0,CU2410,copper,CU2410
2023-12-01,67580.0,68020.0,67580.0,67850.0,103,1038,67890.0,CU2410,copper,CU2410
2023-12-04,68200.0,68620.0,68160.0,68160.0,60,1047,68330.0,CU2410,copper,CU2410
2023-12-05,67990.0,68000.0,67480.0,67530.0,48,1048,67710.0,CU2410,copper,CU2410
2023-12-06,67320.0,67560.0,67150.0,67540.0,21,1051,67310.0,CU2410,copper,CU2410
2023-12-07,67560.0,67560.0,66780.0,66900.0,33,1051,66950.0,CU2410,copper,CU2410
2023-12-08,66840.0,67450.0,66840.0,67450.0,25,1053,67180.0,CU2410,copper,CU2410
2023-12-11,67750.0,68150.0,67590.0,67880.0,72,1054,67860.0,CU2410,copper,CU2410
2023-12-12,67310.0,67560.0,67250.0,67560.0,16,1055,67430.0,CU2410,copper,CU2410
2023-12-13,67440.0,67460.0,67150.0,67160.0,26,1062,67310.0,CU2410,copper,CU2410
2023-12-14,67120.0,67660.0,67100.0,67550.0,110,1061,67420.0,CU2410,copper,CU2410
2023-12-15,68040.0,68240.0,67950.0,67970.0,29,1055,68090.0,CU2410,copper,CU2410
2023-12-18,68010.0,68070.0,67760.0,68020.0,32,1060,67900.0,CU2410,copper,CU2410
2023-12-19,67900.0,67950.0,67800.0,67950.0,7,1058,67890.0,CU2410,copper,CU2410
2023-12-20,68110.0,68700.0,68110.0,68460.0,30,1051,68380.0,CU2410,copper,CU2410
2023-12-21,68320.0,68570.0,68320.0,68570.0,56,1078,68430.0,CU2410,copper,CU2410
2023-12-22,68740.0,68960.0,68610.0,68640.0,60,1082,68750.0,CU2410,copper,CU2410
2023-12-25,68710.0,68880.0,68620.0,68790.0,21,1075,68740.0,CU2410,copper,CU2410
2023-12-26,68710.0,68920.0,68710.0,68920.0,48,1059,68820.0,CU2410,copper,CU2410
2023-12-27,68940.0,68960.0,68660.0,68900.0,21,1050,68850.0,CU2410,copper,CU2410
2023-12-28,68950.0,69400.0,68930.0,69030.0,108,1098,69070.0,CU2410,copper,CU2410
2023-12-29,68680.0,68780.0,68500.0,68600.0,51,1107,68660.0,CU2410,copper,CU2410
2024-01-02,68300.0,68660.0,68300.0,68620.0,48,1106,68420.0,CU2410,copper,CU2410
2024-01-03,68350.0,68400.0,68130.0,68190.0,73,1136,68230.0,CU2410,copper,CU2410
2024-01-04,67910.0,68130.0,67830.0,68000.0,18,1130,67950.0,CU2410,copper,CU2410
2024-01-05,67860.0,68080.0,67720.0,67990.0,44,1146,67910.0,CU2410,copper,CU2410
2024-01-08,67830.0,68120.0,67720.0,67830.0,54,1161,67810.0,CU2410,copper,CU2410
2024-01-09,67630.0,67920.0,67500.0,67780.0,33,1158,67640.0,CU2410,copper,CU2410
2024-01-10,67640.0,67670.0,67380.0,67380.0,217,1197,67430.0,CU2410,copper,CU2410
2024-01-11,67530.0,67780.0,67390.0,67750.0,152,1250,67650.0,CU2410,copper,CU2410
2024-01-12,67740.0,67780.0,67440.0,67740.0,114,1324,67650.0,CU2410,copper,CU2410
2024-01-15,67650.0,67700.0,67260.0,67270.0,111,1371,67410.0,CU2410,copper,CU2410
2024-01-16,67400.0,67500.0,67310.0,67330.0,16,1372,67410.0,CU2410,copper,CU2410
2024-01-17,67650.0,67740.0,67300.0,67330.0,55,1376,67460.0,CU2410,copper,CU2410
2024-01-18,67320.0,67530.0,67130.0,67430.0,98,1406,67280.0,CU2410,copper,CU2410
2024-01-19,67200.0,67460.0,67020.0,67300.0,71,1397,67210.0,CU2410,copper,CU2410
2024-01-22,67580.0,67700.0,67400.0,67530.0,122,1450,67550.0,CU2410,copper,CU2410
2024-01-23,67450.0,67710.0,67340.0,67710.0,23,1448,67470.0,CU2410,copper,CU2410
2024-01-24,67680.0,67850.0,67650.0,67840.0,27,1450,67750.0,CU2410,copper,CU2410
2024-01-25,68220.0,68450.0,68220.0,68350.0,65,1466,68360.0,CU2410,copper,CU2410
2024-01-26,68580.0,68610.0,68350.0,68360.0,41,1454,68530.0,CU2410,copper,CU2410
2024-01-29,68510.0,68700.0,68280.0,68280.0,36,1465,68440.0,CU2410,copper,CU2410
2024-01-30,68410.0,68610.0,68410.0,68420.0,17,1467,68510.0,CU2410,copper,CU2410
2024-01-31,68670.0,68950.0,68460.0,68830.0,138,1536,68710.0,CU2410,copper,CU2410
2024-02-01,68960.0,69330.0,68500.0,68510.0,142,1600,68820.0,CU2410,copper,CU2410
2024-02-02,68580.0,68600.0,68140.0,68220.0,142,1648,68380.0,CU2410,copper,CU2410
2024-02-05,68290.0,68290.0,68070.0,68190.0,90,1685,68180.0,CU2410,copper,CU2410
2024-02-06,67910.0,67910.0,67570.0,67680.0,215,1762,67710.0,CU2410,copper,CU2410
2024-02-07,67630.0,67800.0,67620.0,67690.0,148,1843,67660.0,CU2410,copper,CU2410
2024-02-08,67710.0,67730.0,67310.0,67620.0,182,1945,67550.0,CU2410,copper,CU2410
2024-02-19,68220.0,68250.0,67910.0,68000.0,42,1954,68080.0,CU2410,copper,CU2410
2024-02-20,68170.0,68170.0,67820.0,67870.0,42,1955,67950.0,CU2410,copper,CU2410
2024-02-21,67950.0,68460.0,67950.0,68420.0,80,1946,68250.0,CU2410,copper,CU2410
2024-02-22,68640.0,68900.0,68500.0,68650.0,131,1936,68620.0,CU2410,copper,CU2410
2024-02-23,68760.0,68970.0,68600.0,68870.0,79,1946,68780.0,CU2410,copper,CU2410
2024-02-26,68660.0,68780.0,68520.0,68520.0,72,1928,68610.0,CU2410,copper,CU2410
2024-02-27,68340.0,68490.0,68210.0,68480.0,81,1956,68330.0,CU2410,copper,CU2410
2024-02-28,68990.0,68990.0,68220.0,68220.0,74,1975,68350.0,CU2410,copper,CU2410
2024-02-29,68120.0,68480.0,68050.0,68480.0,45,1970,68270.0,CU2410,copper,CU2410
2024-03-01,68400.0,68510.0,68360.0,68370.0,42,1986,68430.0,CU2410,copper,CU2410
2024-03-04,68290.0,68630.0,68280.0,68550.0,97,1992,68440.0,CU2410,copper,CU2410
2024-03-05,68700.0,68760.0,68510.0,68550.0,46,1997,68630.0,CU2410,copper,CU2410
2024-03-06,68590.0,68640.0,68410.0,68530.0,67,1999,68500.0,CU2410,copper,CU2410
2024-03-07,68630.0,69060.0,68600.0,68980.0,204,2079,68930.0,CU2410,copper,CU2410
2024-03-08,69460.0,69700.0,69270.0,69490.0,229,2115,69440.0,CU2410,copper,CU2410
2024-03-11,69430.0,69490.0,68950.0,69080.0,122,2134,69140.0,CU2410,copper,CU2410
2024-03-12,69250.0,69460.0,69210.0,69460.0,135,2097,69240.0,CU2410,copper,CU2410
2024-03-13,69410.0,69930.0,69200.0,69930.0,144,2126,69510.0,CU2410,copper,CU2410
2024-03-14,70760.0,72000.0,70620.0,71150.0,490,2313,71320.0,CU2410,copper,CU2410
2024-03-15,71330.0,72810.0,71240.0,72590.0,443,2452,72110.0,CU2410,copper,CU2410
2024-03-18,72570.0,73140.0,72410.0,72710.0,530,2591,72710.0,CU2410,copper,CU2410
2024-03-19,73050.0,73800.0,72530.0,72910.0,840,2986,73070.0,CU2410,copper,CU2410
2024-03-20,72550.0,72800.0,72350.0,72620.0,472,2921,72560.0,CU2410,copper,CU2410
2024-03-21,72200.0,73490.0,72180.0,73260.0,891,3128,72990.0,CU2410,copper,CU2410
2024-03-22,73020.0,73090.0,72250.0,72350.0,647,3166,72560.0,CU2410,copper,CU2410
2024-03-25,72330.0,72720.0,72330.0,72460.0,1803,4377,72570.0,CU2410,copper,CU2410
2024-03-26,72380.0,72650.0,71860.0,72100.0,1275,5101,72320.0,CU2410,copper,CU2410
2024-03-27,72290.0,72390.0,72040.0,72230.0,226,5126,72140.0,CU2410,copper,CU2410
2024-03-28,71950.0,72750.0,71810.0,72580.0,490,5125,72360.0,CU2410,copper,CU2410
2024-03-29,72580.0,72680.0,72230.0,72660.0,265,5201,72470.0,CU2410,copper,CU2410
2024-04-01,72600.0,73310.0,72600.0,73220.0,3490,7568,72970.0,CU2410,copper,CU2410
2024-04-02,73080.0,73520.0,73020.0,73400.0,1658,7814,73210.0,CU2410,copper,CU2410
2024-04-03,73700.0,74260.0,73450.0,74160.0,2022,8359,73810.0,CU2410,copper,CU2410
2024-04-08,75220.0,76400.0,74670.0,75760.0,1496,8503,75580.0,CU2410,copper,CU2410
2024-04-09,76220.0,77060.0,76140.0,76350.0,5533,11096,76630.0,CU2410,copper,CU2410
2024-04-10,76750.0,77260.0,76390.0,77060.0,3370,11423,76810.0,CU2410,copper,CU2410
2024-04-11,76820.0,77000.0,76050.0,76500.0,6765,13571,76510.0,CU2410,copper,CU2410
2024-04-12,76530.0,77200.0,76230.0,77200.0,6348,15372,76650.0,CU2410,copper,CU2410
2024-04-15,77500.0,78200.0,76840.0,77520.0,8333,17159,77480.0,CU2410,copper,CU2410
2024-04-16,77780.0,78150.0,77230.0,77340.0,8950,20373,77640.0,CU2410,copper,CU2410
2024-04-17,77130.0,77480.0,76970.0,77380.0,4984,21513,77160.0,CU2410,copper,CU2410
2024-04-18,77710.0,79250.0,77370.0,79120.0,7380,22239,78130.0,CU2410,copper,CU2410
2024-04-19,79200.0,80080.0,78620.0,79630.0,6324,21880,79370.0,CU2410,copper,CU2410
2024-04-22,79850.0,81280.0,79740.0,79920.0,8948,22062,80390.0,CU2410,copper,CU2410
2024-04-23,80050.0,80050.0,78070.0,78280.0,7752,22004,79080.0,CU2410,copper,CU2410
2024-04-24,78190.0,79730.0,77900.0,79600.0,4882,22295,78840.0,CU2410,copper,CU2410
2024-04-25,79530.0,80350.0,79220.0,80280.0,5795,23083,79600.0,CU2410,copper,CU2410
2024-04-26,80700.0,81350.0,80110.0,81280.0,5336,24077,80720.0,CU2410,copper,CU2410
2024-04-29,81050.0,81250.0,80350.0,81140.0,4407,24019,80950.0,CU2410,copper,CU2410
2024-04-30,81300.0,82500.0,81300.0,82310.0,9243,24103,81930.0,CU2410,copper,CU2410
2024-05-06,80580.0,81430.0,80310.0,81360.0,5903,23251,81180.0,CU2410,copper,CU2410
2024-05-07,81430.0,81720.0,80600.0,80650.0,7726,23057,81250.0,CU2410,copper,CU2410
2024-05-08,80620.0,81020.0,79650.0,79760.0,4947,23326,80310.0,CU2410,copper,CU2410
2024-05-09,79680.0,80430.0,79650.0,79930.0,3054,23399,80030.0,CU2410,copper,CU2410
2024-05-10,80080.0,81260.0,79910.0,81170.0,13749,23286,80370.0,CU2410,copper,CU2410
2024-05-13,80810.0,81730.0,80570.0,81590.0,6543,23455,81040.0,CU2410,copper,CU2410
2024-05-14,81950.0,82950.0,81870.0,82730.0,8284,25269,82340.0,CU2410,copper,CU2410
2024-05-15,82740.0,82960.0,81570.0,82450.0,10251,25431,82190.0,CU2410,copper,CU2410
2024-05-16,82600.0,83260.0,81730.0,82880.0,9903,26099,82620.0,CU2410,copper,CU2410
2024-05-17,83060.0,84720.0,82750.0,84440.0,11281,27879,83490.0,CU2410,copper,CU2410
2024-05-20,84800.0,89280.0,84650.0,87900.0,17794,28419,86940.0,CU2410,copper,CU2410
2024-05-21,87410.0,88860.0,86280.0,87320.0,13071,29733,87480.0,CU2410,copper,CU2410
2024-05-22,87890.0,88240.0,85980.0,86570.0,15028,31355,86870.0,CU2410,copper,CU2410
2024-05-23,85290.0,85490.0,83350.0,83590.0,20636,33128,84420.0,CU2410,copper,CU2410
2024-05-24,84150.0,84920.0,83700.0,84450.0,12188,33356,84380.0,CU2410,copper,CU2410
2024-05-27,84200.0,84580.0,83890.0,84160.0,6969,33745,84270.0,CU2410,copper,CU2410
2024-05-28,84510.0,85930.0,84440.0,85160.0,9182,33754,85360.0,CU2410,copper,CU2410
2024-05-29,85580.0,86270.0,84700.0,86080.0,8965,34445,85540.0,CU2410,copper,CU2410
2024-05-30,85170.0,85450.0,83080.0,83520.0,16046,35694,84370.0,CU2410,copper,CU2410
2024-05-31,82760.0,83150.0,82230.0,83050.0,14234,36347,82800.0,CU2410,copper,CU2410
2024-06-03,82800.0,83240.0,81740.0,82080.0,13155,36956,82260.0,CU2410,copper,CU2410
2024-06-04,82460.0,82940.0,82180.0,82480.0,9078,37588,82580.0,CU2410,copper,CU2410
2024-06-05,81560.0,81560.0,80440.0,80500.0,13252,38132,81050.0,CU2410,copper,CU2410
2024-06-06,80680.0,82050.0,80440.0,81650.0,14543,37603,81290.0,CU2410,copper,CU2410
2024-06-07,81770.0,82800.0,81650.0,81880.0,11048,38382,82140.0,CU2410,copper,CU2410
2024-06-11,80760.0,81130.0,80020.0,80290.0,10716,38283,80550.0,CU2410,copper,CU2410
2024-06-12,79900.0,80660.0,79560.0,80230.0,13499,39047,80050.0,CU2410,copper,CU2410
2024-06-13,81000.0,81430.0,79600.0,80450.0,14218,39771,80490.0,CU2410,copper,CU2410
2024-06-14,80560.0,80630.0,79540.0,80010.0,10031,40171,80130.0,CU2410,copper,CU2410
2024-06-17,79820.0,79990.0,78480.0,78480.0,14800,39286,79260.0,CU2410,copper,CU2410
2024-06-18,78250.0,79420.0,78250.0,78670.0,12218,39871,78870.0,CU2410,copper,CU2410
2024-06-19,78120.0,79370.0,78080.0,79360.0,12429,41746,78830.0,CU2410,copper,CU2410
2024-06-20,79710.0,80350.0,79290.0,79830.0,11878,42198,79880.0,CU2410,copper,CU2410
2024-06-21,79960.0,80760.0,79510.0,79520.0,14630,44131,80110.0,CU2410,copper,CU2410
2024-06-24,79060.0,79390.0,78650.0,78860.0,15391,44474,78950.0,CU2410,copper,CU2410
2024-06-25,78920.0,79300.0,78750.0,78860.0,9297,46156,79020.0,CU2410,copper,CU2410
2024-06-26,78510.0,78750.0,77770.0,78690.0,20438,46706,78250.0,CU2410,copper,CU2410
2024-06-27,78610.0,78630.0,77680.0,77780.0,11914,47346,78120.0,CU2410,copper,CU2410
2024-06-28,78380.0,78770.0,77880.0,78690.0,16554,50423,78310.0,CU2410,copper,CU2410
2024-07-01,78900.0,79260.0,78230.0,78390.0,12003,51277,78630.0,CU2410,copper,CU2410
2024-07-02,79020.0,79270.0,78790.0,79040.0,10261,52189,79030.0,CU2410,copper,CU2410
2024-07-03,79480.0,80030.0,79080.0,80010.0,12495,53573,79490.0,CU2410,copper,CU2410
2024-07-04,80400.0,80910.0,80100.0,80310.0,12566,55228,80470.0,CU2410,copper,CU2410
2024-07-05,80800.0,81020.0,80270.0,80830.0,14011,57180,80610.0,CU2410,copper,CU2410
2024-07-08,81200.0,81240.0,80120.0,80330.0,16472,59888,80770.0,CU2410,copper,CU2410
2024-07-09,80850.0,81050.0,80430.0,80930.0,12235,61224,80780.0,CU2410,copper,CU2410
2024-07-10,80650.0,80750.0,79860.0,80020.0,17697,61322,80300.0,CU2410,copper,CU2410
2024-07-11,80300.0,80700.0,80240.0,80340.0,13508,61756,80440.0,CU2410,copper,CU2410
2024-07-12,80180.0,80360.0,79190.0,79310.0,24253,63720,79580.0,CU2410,copper,CU2410
2024-07-15,79820.0,80500.0,79520.0,79830.0,23261,65875,79950.0,CU2410,copper,CU2410
2024-07-16,79680.0,80090.0,79450.0,79620.0,15596,68716,79700.0,CU2410,copper,CU2410
2024-07-17,79050.0,79170.0,78550.0,78770.0,26746,71191,78880.0,CU2410,copper,CU2410
2024-07-18,78570.0,78760.0,78240.0,78700.0,19121,71060,78470.0,CU2410,copper,CU2410
2024-07-19,77460.0,77550.0,76520.0,76830.0,48053,74162,77010.0,CU2410,copper,CU2410
2024-07-22,76500.0,76660.0,75720.0,75860.0,35729,76833,76270.0,CU2410,copper,CU2410
2024-07-23,75470.0,76110.0,74820.0,74820.0,39543,79076,75420.0,CU2410,copper,CU2410
2024-07-24,74870.0,75300.0,74620.0,75060.0,32515,81268,74930.0,CU2410,copper,CU2410
2024-07-25,74880.0,74980.0,72910.0,73100.0,60013,83471,73780.0,CU2410,copper,CU2410
2024-07-26,73660.0,74740.0,73450.0,74210.0,52469,84143,74150.0,CU2410,copper,CU2410
2024-07-29,74320.0,74920.0,74120.0,74150.0,33879,88279,74420.0,CU2410,copper,CU2410
2024-07-30,73880.0,74100.0,73180.0,73610.0,54466,93080,73570.0,CU2410,copper,CU2410
2024-07-31,73210.0,74650.0,72900.0,74600.0,57599,98381,73830.0,CU2410,copper,CU2410
2024-08-01,74850.0,75620.0,74680.0,74900.0,53443,102335,75080.0,CU2410,copper,CU2410
2024-08-02,74570.0,74990.0,73390.0,73810.0,74374,107649,74120.0,CU2410,copper,CU2410
2024-08-05,73840.0,74150.0,72290.0,72300.0,92943,117021,73130.0,CU2410,copper,CU2410
2024-08-06,70630.0,72340.0,70630.0,70980.0,109709,118697,71260.0,CU2410,copper,CU2410
2024-08-07,70900.0,72080.0,70900.0,71520.0,68183,122937,71580.0,CU2410,copper,CU2410
2024-08-08,71380.0,71530.0,70740.0,70800.0,68119,128590,71050.0,CU2410,copper,CU2410
2024-08-09,70700.0,72260.0,70700.0,71800.0,74082,132786,71550.0,CU2410,copper,CU2410
2024-08-12,71880.0,72370.0,71440.0,72280.0,62605,134452,71830.0,CU2410,copper,CU2410
2024-08-13,72510.0,73350.0,72120.0,72410.0,78687,136061,72680.0,CU2410,copper,CU2410
2024-08-14,72340.0,72790.0,71750.0,72160.0,78751,134747,72260.0,CU2410,copper,CU2410
2024-08-15,72410.0,72940.0,72000.0,72920.0,75080,141398,72470.0,CU2410,copper,CU2410
2024-08-16,73420.0,74160.0,73180.0,73980.0,92087,142035,73700.0,CU2410,copper,CU2410
2024-08-19,73490.0,74300.0,73030.0,73940.0,87374,145210,73680.0,CU2410,copper,CU2410
2024-08-20,74200.0,74320.0,73670.0,73810.0,63474,142288,73980.0,CU2410,copper,CU2410
2024-08-21,74090.0,74180.0,73270.0,73950.0,82879,148728,73760.0,CU2410,copper,CU2410
2024-08-22,74000.0,74360.0,73580.0,73930.0,91359,153594,73990.0,CU2410,copper,CU2410
2024-08-23,73680.0,73820.0,73360.0,73500.0,85591,152504,73580.0,CU2410,copper,CU2410
2024-08-26,73650.0,75180.0,73470.0,75170.0,133984,163614,74340.0,CU2410,copper,CU2410
2024-08-27,74850.0,75230.0,74660.0,75010.0,87707,161333,74930.0,CU2410,copper,CU2410
2024-08-28,75240.0,75580.0,74560.0,74590.0,101876,165120,75050.0,CU2410,copper,CU2410
2024-08-29,74250.0,74530.0,73750.0,74200.0,98457,163501,74180.0,CU2410,copper,CU2410
2024-08-30,73820.0,74480.0,73550.0,74220.0,107315,168270,74010.0,CU2410,copper,CU2410
2024-09-02,74220.0,74220.0,73460.0,73610.0,92995,165620,73800.0,CU2410,copper,CU2410
2024-09-03,73500.0,73870.0,72860.0,72890.0,95688,169511,73450.0,CU2410,copper,CU2410
2024-09-04,72400.0,72520.0,71600.0,71700.0,132606,170412,71990.0,CU2410,copper,CU2410
2024-09-05,71960.0,72360.0,71520.0,71520.0,98080,166581,71950.0,CU2410,copper,CU2410
2024-09-06,72310.0,73080.0,72170.0,73050.0,125395,163661,72590.0,CU2410,copper,CU2410
2024-09-09,73000.0,73050.0,71660.0,72410.0,124545,158925,72120.0,CU2410,copper,CU2410
2024-09-10,72860.0,73370.0,72460.0,73110.0,101875,158833,72850.0,CU2410,copper,CU2410
2024-09-11,72870.0,73320.0,72240.0,73270.0,100152,157520,72730.0,CU2410,copper,CU2410
2024-09-12,73330.0,74010.0,72710.0,73830.0,99417,153761,73420.0,CU2410,copper,CU2410
2024-09-13,74030.0,74450.0,73720.0,73960.0,90765,148604,74100.0,CU2410,copper,CU2410
2024-09-18,74610.0,74770.0,74170.0,74510.0,60964,145207,74440.0,CU2410,copper,CU2410
2024-09-19,74810.0,75670.0,74350.0,75640.0,106572,139919,74890.0,CU2410,copper,CU2410
2024-09-20,75910.0,76110.0,75430.0,75840.0,94782,129143,75770.0,CU2410,copper,CU2410
2024-09-23,75790.0,75900.0,75130.0,75310.0,81991,117609,75410.0,CU2410,copper,CU2410
2024-09-24,75500.0,76780.0,75410.0,76760.0,81283,100524,76100.0,CU2410,copper,CU2410
2024-09-25,77060.0,78130.0,77000.0,77120.0,65897,85492,0.0,CU2410,copper,CU2410
2024-09-26,77280.0,77860.0,77000.0,77810.0,44174,71699,77410.0,CU2410,copper,CU2410
2024-09-27,78480.0,79250.0,77940.0,78820.0,45409,59814,78720.0,CU2410,copper,CU2410
2024-09-30,78600.0,79510.0,78210.0,78930.0,31410,47994,78940.0,CU2410,copper,CU2410
2024-10-08,78720.0,79270.0,77370.0,77370.0,29769,40985,78270.0,CU2410,copper,CU2410
2024-10-09,77430.0,78000.0,77320.0,77650.0,19335,31995,77670.0,CU2410,copper,CU2410
2024-10-10,77100.0,77510.0,76560.0,76950.0,20875,23895,77180.0,CU2410,copper,CU2410
2024-10-11,77000.0,77650.0,77000.0,77260.0,14185,16065,77360.0,CU2410,copper,CU2410
2024-10-14,77410.0,78060.0,77220.0,77520.0,12410,7820,77480.0,CU2410,copper,CU2410
2024-10-15,82900.0,82900.0,76330.0,76410.0,6945,5610,77190.0,CU2410,copper,CU2410
