datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2023-06-16,67140.0,67670.0,67140.0,67530.0,16,13,67470.0,CU2406,copper,CU2406
2023-06-19,67290.0,67500.0,67240.0,67330.0,9,16,67400.0,CU2406,copper,CU2406
2023-06-20,67410.0,67550.0,67260.0,67430.0,58,61,67300.0,CU2406,copper,CU2406
2023-06-21,67600.0,67900.0,67490.0,67610.0,33,70,67640.0,CU2406,copper,CU2406
2023-06-26,67110.0,67160.0,66830.0,67050.0,17,79,66990.0,CU2406,copper,CU2406
2023-06-27,67150.0,67330.0,66680.0,67110.0,23,85,67060.0,CU2406,copper,CU2406
2023-06-28,66710.0,66810.0,66600.0,66660.0,27,82,66680.0,CU2406,copper,CU2406
2023-06-29,66320.0,66400.0,66120.0,66230.0,40,89,66230.0,CU2406,copper,CU2406
2023-06-30,66020.0,66390.0,65700.0,66250.0,74,109,66070.0,CU2406,copper,CU2406
2023-07-03,66470.0,67360.0,66470.0,67150.0,40,121,66960.0,CU2406,copper,CU2406
2023-07-04,67150.0,67170.0,66860.0,66910.0,20,120,67030.0,CU2406,copper,CU2406
2023-07-05,66820.0,66930.0,66750.0,66750.0,16,125,66830.0,CU2406,copper,CU2406
2023-07-06,66980.0,66990.0,66700.0,66830.0,50,154,66840.0,CU2406,copper,CU2406
2023-07-07,66930.0,66930.0,66560.0,66580.0,11,156,66670.0,CU2406,copper,CU2406
2023-07-10,66820.0,66930.0,66720.0,66720.0,31,171,66780.0,CU2406,copper,CU2406
2023-07-11,67100.0,67260.0,67020.0,67260.0,41,189,67170.0,CU2406,copper,CU2406
2023-07-12,66900.0,66900.0,66760.0,66760.0,15,198,66840.0,CU2406,copper,CU2406
2023-07-13,67090.0,67750.0,67090.0,67750.0,61,225,67600.0,CU2406,copper,CU2406
2023-07-14,67890.0,68800.0,67890.0,68400.0,161,262,68420.0,CU2406,copper,CU2406
2023-07-17,68480.0,68580.0,67940.0,67940.0,15,261,68220.0,CU2406,copper,CU2406
2023-07-18,67560.0,67830.0,67370.0,67690.0,44,267,67610.0,CU2406,copper,CU2406
2023-07-19,67610.0,67910.0,67510.0,67860.0,23,275,67660.0,CU2406,copper,CU2406
2023-07-20,67750.0,67870.0,67520.0,67670.0,65,321,67690.0,CU2406,copper,CU2406
2023-07-21,68130.0,68130.0,67650.0,67950.0,23,332,67810.0,CU2406,copper,CU2406
2023-07-24,67650.0,67770.0,67490.0,67600.0,46,332,67590.0,CU2406,copper,CU2406
2023-07-25,67630.0,68390.0,67490.0,68240.0,306,523,67980.0,CU2406,copper,CU2406
2023-07-26,68360.0,68680.0,68270.0,68410.0,245,698,68410.0,CU2406,copper,CU2406
2023-07-27,68160.0,68670.0,68010.0,68290.0,383,967,68290.0,CU2406,copper,CU2406
2023-07-28,68070.0,68160.0,67780.0,68150.0,582,1388,67950.0,CU2406,copper,CU2406
2023-07-31,68400.0,68900.0,68300.0,68620.0,88,1392,68640.0,CU2406,copper,CU2406
2023-08-01,69200.0,70000.0,69100.0,69680.0,156,1337,69610.0,CU2406,copper,CU2406
2023-08-02,69300.0,69300.0,68500.0,68530.0,221,1441,68840.0,CU2406,copper,CU2406
2023-08-03,68480.0,68480.0,67810.0,67900.0,159,1511,68070.0,CU2406,copper,CU2406
2023-08-04,68000.0,68890.0,67980.0,68540.0,124,1465,68550.0,CU2406,copper,CU2406
2023-08-07,68220.0,68270.0,67970.0,68180.0,249,1309,68120.0,CU2406,copper,CU2406
2023-08-08,68340.0,68420.0,67790.0,67910.0,143,1358,68060.0,CU2406,copper,CU2406
2023-08-09,66940.0,67770.0,66900.0,67770.0,280,1556,67150.0,CU2406,copper,CU2406
2023-08-10,67510.0,67590.0,67300.0,67590.0,316,1788,67450.0,CU2406,copper,CU2406
2023-08-11,67840.0,67840.0,67220.0,67300.0,107,1823,67360.0,CU2406,copper,CU2406
