datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2023-09-18,68550.0,68660.0,68500.0,68660.0,19,16,68600.0,CU2409,copper,CU2409
2023-09-19,68380.0,68390.0,68060.0,68150.0,20,33,68310.0,CU2409,copper,CU2409
2023-09-20,68000.0,68190.0,68000.0,68050.0,13,40,68070.0,CU2409,copper,CU2409
2023-09-21,68240.0,68540.0,67950.0,67950.0,47,66,68040.0,CU2409,copper,CU2409
2023-09-22,67250.0,67750.0,67220.0,67700.0,92,138,67490.0,CU2409,copper,CU2409
2023-09-25,67820.0,67850.0,67430.0,67470.0,23,138,67600.0,CU2409,copper,CU2409
2023-09-26,67500.0,67500.0,67180.0,67180.0,77,189,67330.0,CU2409,copper,CU2409
2023-09-27,67180.0,67180.0,66800.0,66800.0,352,481,67050.0,CU2409,copper,CU2409
2023-09-28,66950.0,67100.0,66800.0,67000.0,229,638,66920.0,CU2409,copper,CU2409
2023-10-09,67050.0,67160.0,66980.0,67000.0,167,747,67060.0,CU2409,copper,CU2409
2023-10-10,66950.0,66950.0,66170.0,66170.0,86,796,66720.0,CU2409,copper,CU2409
2023-10-11,66070.0,66580.0,65930.0,66560.0,75,818,66280.0,CU2409,copper,CU2409
2023-10-12,66470.0,66700.0,66200.0,66660.0,169,895,66450.0,CU2409,copper,CU2409
2023-10-13,66470.0,66480.0,65980.0,66360.0,58,922,66210.0,CU2409,copper,CU2409
2023-10-16,66200.0,66450.0,65840.0,66450.0,58,942,66150.0,CU2409,copper,CU2409
2023-10-17,66330.0,66340.0,65770.0,65780.0,51,960,66040.0,CU2409,copper,CU2409
2023-10-18,65840.0,66680.0,65840.0,66540.0,98,969,66430.0,CU2409,copper,CU2409
2023-10-19,66410.0,66520.0,66100.0,66250.0,495,1297,66320.0,CU2409,copper,CU2409
2023-10-20,66330.0,66470.0,65840.0,65890.0,172,1410,66050.0,CU2409,copper,CU2409
2023-10-23,66050.0,66190.0,65530.0,65530.0,132,1413,65760.0,CU2409,copper,CU2409
2023-10-24,65810.0,66270.0,65690.0,66270.0,84,1418,65910.0,CU2409,copper,CU2409
2023-10-25,66180.0,66770.0,66180.0,66710.0,60,1417,66600.0,CU2409,copper,CU2409
2023-10-26,66630.0,66630.0,66260.0,66340.0,21,1419,66410.0,CU2409,copper,CU2409
2023-10-27,66340.0,66580.0,66150.0,66560.0,29,1427,66260.0,CU2409,copper,CU2409
2023-10-30,67000.0,67190.0,66860.0,67100.0,57,1448,67010.0,CU2409,copper,CU2409
2023-10-31,67420.0,67420.0,66920.0,67020.0,40,1455,67110.0,CU2409,copper,CU2409
2023-11-01,67010.0,67100.0,66810.0,67000.0,64,1491,67000.0,CU2409,copper,CU2409
2023-11-02,67090.0,67520.0,67090.0,67290.0,333,1471,67310.0,CU2409,copper,CU2409
2023-11-03,67390.0,67660.0,67300.0,67610.0,195,1356,67510.0,CU2409,copper,CU2409
2023-11-06,67350.0,67490.0,67120.0,67360.0,70,1344,67320.0,CU2409,copper,CU2409
2023-11-07,67500.0,67710.0,67280.0,67350.0,165,1299,67500.0,CU2409,copper,CU2409
2023-11-08,67080.0,67280.0,66900.0,67230.0,300,1166,67150.0,CU2409,copper,CU2409
2023-11-09,67210.0,67220.0,66710.0,66780.0,37,1159,66810.0,CU2409,copper,CU2409
2023-11-10,66920.0,66980.0,66800.0,66860.0,56,1197,66870.0,CU2409,copper,CU2409
2023-11-13,66670.0,66760.0,66400.0,66760.0,41,1204,66590.0,CU2409,copper,CU2409
