datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2023-07-18,67510.0,67750.0,67340.0,67670.0,12,10,67490.0,CU2407,copper,CU2407
2023-07-19,67640.0,67800.0,67640.0,67800.0,7,14,67730.0,CU2407,copper,CU2407
2023-07-20,67670.0,67890.0,67650.0,67670.0,9,18,67730.0,CU2407,copper,CU2407
2023-07-21,68130.0,68130.0,67890.0,68000.0,10,24,67960.0,CU2407,copper,CU2407
2023-07-24,67610.0,67770.0,67490.0,67640.0,55,61,67700.0,CU2407,copper,CU2407
2023-07-25,67610.0,68290.0,67560.0,68290.0,20,59,67870.0,CU2407,copper,CU2407
2023-07-26,68540.0,68690.0,68340.0,68370.0,38,65,68520.0,CU2407,copper,CU2407
2023-07-27,68140.0,68680.0,68130.0,68200.0,71,117,68430.0,CU2407,copper,CU2407
2023-07-28,68070.0,68100.0,67720.0,68090.0,108,163,67930.0,CU2407,copper,CU2407
2023-07-31,68310.0,68770.0,68220.0,68540.0,35,164,68500.0,CU2407,copper,CU2407
2023-08-01,69000.0,69890.0,68600.0,69650.0,94,197,69440.0,CU2407,copper,CU2407
2023-08-02,69160.0,69160.0,68400.0,68430.0,107,241,68740.0,CU2407,copper,CU2407
2023-08-03,68230.0,68230.0,67760.0,67920.0,88,289,68010.0,CU2407,copper,CU2407
2023-08-04,68010.0,68770.0,68010.0,68500.0,32,288,68550.0,CU2407,copper,CU2407
2023-08-07,68150.0,68160.0,67910.0,68080.0,31,295,68040.0,CU2407,copper,CU2407
2023-08-08,68200.0,68200.0,67750.0,67880.0,137,396,67970.0,CU2407,copper,CU2407
2023-08-09,66780.0,67500.0,66780.0,67460.0,199,521,67130.0,CU2407,copper,CU2407
2023-08-10,67420.0,68000.0,67170.0,67410.0,253,677,67350.0,CU2407,copper,CU2407
2023-08-11,67740.0,67740.0,67100.0,67200.0,143,746,67320.0,CU2407,copper,CU2407
2023-08-14,67010.0,67100.0,66760.0,66860.0,205,887,66890.0,CU2407,copper,CU2407
2023-08-15,66990.0,67600.0,66960.0,67470.0,73,895,67270.0,CU2407,copper,CU2407
2023-08-16,67020.0,67040.0,66500.0,66500.0,186,958,66760.0,CU2407,copper,CU2407
2023-08-17,66630.0,66920.0,66460.0,66770.0,98,970,66710.0,CU2407,copper,CU2407
2023-08-18,67250.0,67320.0,66900.0,66900.0,140,1039,67140.0,CU2407,copper,CU2407
2023-08-21,67020.0,67440.0,66850.0,67380.0,42,1050,67240.0,CU2407,copper,CU2407
2023-08-22,67280.0,67590.0,67230.0,67540.0,25,1049,67450.0,CU2407,copper,CU2407
2023-08-23,67850.0,68130.0,67770.0,68110.0,50,1063,67970.0,CU2407,copper,CU2407
2023-08-24,67980.0,68360.0,67980.0,68080.0,19,1061,68230.0,CU2407,copper,CU2407
2023-08-25,67920.0,68000.0,67780.0,67990.0,25,1069,67900.0,CU2407,copper,CU2407
2023-08-28,67900.0,68310.0,67690.0,68310.0,10,1068,67950.0,CU2407,copper,CU2407
2023-08-29,68050.0,68300.0,68040.0,68240.0,30,1090,68180.0,CU2407,copper,CU2407
2023-08-30,68080.0,68420.0,68040.0,68400.0,62,1097,68370.0,CU2407,copper,CU2407
2023-08-31,68610.0,68710.0,68440.0,68440.0,139,1140,68600.0,CU2407,copper,CU2407
2023-09-01,68330.0,68700.0,68330.0,68700.0,66,1139,68570.0,CU2407,copper,CU2407
2023-09-04,69180.0,69240.0,68420.0,68420.0,72,1150,68870.0,CU2407,copper,CU2407
2023-09-05,68250.0,68440.0,68180.0,68180.0,32,1170,68250.0,CU2407,copper,CU2407
2023-09-06,68470.0,68760.0,68470.0,68600.0,17,1173,68630.0,CU2407,copper,CU2407
2023-09-07,68360.0,68360.0,68090.0,68210.0,4,1172,68190.0,CU2407,copper,CU2407
2023-09-08,68010.0,68010.0,67900.0,67930.0,31,1161,67970.0,CU2407,copper,CU2407
2023-09-11,67740.0,68110.0,67600.0,68110.0,281,1370,67760.0,CU2407,copper,CU2407
2023-09-12,68460.0,68600.0,68370.0,68370.0,266,1415,68480.0,CU2407,copper,CU2407
2023-09-13,68310.0,68310.0,68210.0,68290.0,123,1435,68260.0,CU2407,copper,CU2407
2023-09-14,68260.0,68720.0,68260.0,68650.0,80,1456,68510.0,CU2407,copper,CU2407
2023-09-15,68860.0,69110.0,68640.0,69000.0,89,1484,68940.0,CU2407,copper,CU2407
2023-09-18,68720.0,68760.0,68530.0,68660.0,62,1506,68660.0,CU2407,copper,CU2407
2023-09-19,68490.0,68500.0,68190.0,68190.0,140,1605,68330.0,CU2407,copper,CU2407
2023-09-20,68080.0,68250.0,68000.0,68190.0,128,1684,68190.0,CU2407,copper,CU2407
2023-09-21,68330.0,68400.0,67970.0,67970.0,117,1700,68170.0,CU2407,copper,CU2407
2023-09-22,67970.0,67970.0,67200.0,67750.0,51,1704,67500.0,CU2407,copper,CU2407
2023-09-25,67760.0,67760.0,67440.0,67550.0,118,1726,67600.0,CU2407,copper,CU2407
2023-09-26,67580.0,67580.0,67050.0,67110.0,280,1790,67420.0,CU2407,copper,CU2407
2023-09-27,67160.0,67180.0,66860.0,66860.0,111,1815,67000.0,CU2407,copper,CU2407
2023-09-28,66960.0,67160.0,66880.0,66980.0,205,1850,67040.0,CU2407,copper,CU2407
2023-10-09,66890.0,67150.0,66880.0,67150.0,324,1955,67060.0,CU2407,copper,CU2407
2023-10-10,66880.0,66970.0,66180.0,66200.0,167,1990,66700.0,CU2407,copper,CU2407
2023-10-11,66010.0,66610.0,65930.0,66600.0,111,1993,66280.0,CU2407,copper,CU2407
2023-10-12,66440.0,66720.0,66220.0,66710.0,128,2056,66430.0,CU2407,copper,CU2407
2023-10-13,66340.0,66450.0,65960.0,66360.0,207,2132,66230.0,CU2407,copper,CU2407
2023-10-16,66200.0,66410.0,65790.0,66410.0,178,2231,66090.0,CU2407,copper,CU2407
2023-10-17,66380.0,66380.0,65760.0,65770.0,141,2331,66000.0,CU2407,copper,CU2407
2023-10-18,65830.0,66670.0,65830.0,66580.0,98,2325,66350.0,CU2407,copper,CU2407
2023-10-19,66520.0,66570.0,66140.0,66310.0,149,2368,66320.0,CU2407,copper,CU2407
2023-10-20,66440.0,66470.0,65970.0,65970.0,360,2519,66350.0,CU2407,copper,CU2407
2023-10-23,66140.0,66330.0,65570.0,65640.0,160,2561,65940.0,CU2407,copper,CU2407
2023-10-24,65940.0,66340.0,65810.0,66280.0,101,2550,66040.0,CU2407,copper,CU2407
2023-10-25,66240.0,66800.0,66240.0,66760.0,143,2605,66630.0,CU2407,copper,CU2407
