datetime,open,high,low,close,volume,hold,symbol,period
2025-09-11 09:25:00,80090.0,80100.0,80090.0,80100.0,30,19365,CU2509,1
2025-09-11 09:26:00,80100.0,80100.0,80100.0,80100.0,0,19365,CU2509,1
2025-09-11 09:27:00,80100.0,80100.0,80100.0,80100.0,95,19310,CU2509,1
2025-09-11 09:28:00,80090.0,80090.0,80090.0,80090.0,120,19190,CU2509,1
2025-09-11 09:29:00,80090.0,80100.0,80090.0,80100.0,25,19190,CU2509,1
2025-09-11 09:30:00,80100.0,80100.0,80090.0,80090.0,20,19190,CU2509,1
2025-09-11 09:31:00,80120.0,80120.0,80090.0,80120.0,20,19170,CU2509,1
2025-09-11 09:32:00,80120.0,80120.0,80120.0,80120.0,20,19150,CU2509,1
2025-09-11 09:33:00,80120.0,80120.0,80090.0,80090.0,30,19125,CU2509,1
2025-09-11 09:34:00,80090.0,80090.0,80070.0,80080.0,75,19085,CU2509,1
2025-09-11 09:35:00,80080.0,80090.0,80080.0,80090.0,35,19065,CU2509,1
2025-09-11 09:36:00,80090.0,80090.0,80090.0,80090.0,5,19065,CU2509,1
2025-09-11 09:37:00,80080.0,80080.0,80070.0,80070.0,65,19010,CU2509,1
2025-09-11 09:38:00,80070.0,80070.0,80070.0,80070.0,50,18960,CU2509,1
2025-09-11 09:39:00,80070.0,80070.0,80060.0,80060.0,30,18940,CU2509,1
2025-09-11 09:40:00,80070.0,80070.0,80070.0,80070.0,20,18915,CU2509,1
2025-09-11 09:41:00,80070.0,80080.0,80070.0,80080.0,20,18915,CU2509,1
2025-09-11 09:42:00,80080.0,80090.0,80080.0,80090.0,85,18830,CU2509,1
2025-09-11 09:43:00,80090.0,80110.0,80090.0,80110.0,45,18785,CU2509,1
2025-09-11 09:44:00,80110.0,80120.0,80110.0,80120.0,40,18780,CU2509,1
2025-09-11 09:45:00,80120.0,80120.0,80120.0,80120.0,25,18755,CU2509,1
2025-09-11 09:47:00,80110.0,80110.0,80110.0,80110.0,25,18730,CU2509,1
2025-09-11 09:48:00,80110.0,80110.0,80110.0,80110.0,10,18710,CU2509,1
2025-09-11 09:49:00,80110.0,80110.0,80100.0,80100.0,50,18620,CU2509,1
2025-09-11 09:50:00,80100.0,80100.0,80080.0,80080.0,30,18615,CU2509,1
2025-09-11 09:51:00,80080.0,80080.0,80080.0,80080.0,20,18600,CU2509,1
2025-09-11 09:52:00,80090.0,80090.0,80080.0,80080.0,90,18560,CU2509,1
2025-09-11 09:53:00,80080.0,80090.0,80080.0,80080.0,40,18540,CU2509,1
2025-09-11 09:54:00,80080.0,80080.0,80080.0,80080.0,5,18535,CU2509,1
2025-09-11 09:55:00,80080.0,80080.0,80080.0,80080.0,25,18530,CU2509,1
2025-09-11 09:56:00,80080.0,80080.0,80080.0,80080.0,5,18525,CU2509,1
2025-09-11 09:57:00,80080.0,80080.0,80060.0,80060.0,50,18445,CU2509,1
2025-09-11 09:58:00,80060.0,80060.0,80060.0,80060.0,20,18445,CU2509,1
2025-09-11 10:00:00,80060.0,80100.0,80060.0,80100.0,25,18390,CU2509,1
2025-09-11 10:01:00,80100.0,80110.0,80100.0,80110.0,35,18310,CU2509,1
2025-09-11 10:02:00,80110.0,80120.0,80110.0,80120.0,5,18310,CU2509,1
2025-09-11 10:03:00,80120.0,80120.0,80110.0,80110.0,20,18305,CU2509,1
2025-09-11 10:04:00,80110.0,80110.0,80110.0,80110.0,30,18300,CU2509,1
2025-09-11 10:05:00,80110.0,80120.0,80110.0,80120.0,40,18300,CU2509,1
2025-09-11 10:06:00,80110.0,80110.0,80110.0,80110.0,30,18265,CU2509,1
2025-09-11 10:07:00,80110.0,80110.0,80090.0,80090.0,50,18215,CU2509,1
2025-09-11 10:08:00,80090.0,80090.0,80080.0,80080.0,5,18200,CU2509,1
2025-09-11 10:09:00,80080.0,80080.0,80080.0,80080.0,20,18150,CU2509,1
2025-09-11 10:10:00,80080.0,80080.0,80080.0,80080.0,0,18150,CU2509,1
2025-09-11 10:11:00,80080.0,80100.0,80080.0,80100.0,50,18150,CU2509,1
2025-09-11 10:12:00,80100.0,80100.0,80090.0,80100.0,45,18120,CU2509,1
2025-09-11 10:13:00,80100.0,80110.0,80090.0,80100.0,80,18060,CU2509,1
2025-09-11 10:14:00,80100.0,80110.0,80090.0,80110.0,30,18040,CU2509,1
2025-09-11 10:15:00,80090.0,80090.0,80090.0,80090.0,5,18035,CU2509,1
2025-09-11 10:31:00,80090.0,80120.0,80090.0,80120.0,30,18010,CU2509,1
2025-09-11 10:32:00,80120.0,80130.0,80120.0,80130.0,30,18000,CU2509,1
2025-09-11 10:33:00,80130.0,80130.0,80100.0,80100.0,75,17935,CU2509,1
2025-09-11 10:34:00,80100.0,80100.0,80090.0,80100.0,55,17880,CU2509,1
2025-09-11 10:35:00,80100.0,80100.0,80090.0,80090.0,75,17820,CU2509,1
2025-09-11 10:36:00,80090.0,80100.0,80090.0,80100.0,5,17795,CU2509,1
2025-09-11 10:37:00,80100.0,80110.0,80100.0,80110.0,10,17780,CU2509,1
2025-09-11 10:38:00,80110.0,80110.0,80110.0,80110.0,15,17765,CU2509,1
2025-09-11 10:39:00,80120.0,80120.0,80100.0,80100.0,105,17745,CU2509,1
2025-09-11 10:40:00,80100.0,80100.0,80100.0,80100.0,5,17740,CU2509,1
2025-09-11 10:41:00,80100.0,80100.0,80090.0,80090.0,50,17705,CU2509,1
2025-09-11 10:42:00,80090.0,80090.0,80080.0,80080.0,70,17660,CU2509,1
2025-09-11 10:43:00,80080.0,80090.0,80080.0,80080.0,35,17630,CU2509,1
2025-09-11 10:44:00,80080.0,80080.0,80070.0,80070.0,20,17600,CU2509,1
2025-09-11 10:45:00,80080.0,80080.0,80080.0,80080.0,55,17595,CU2509,1
2025-09-11 10:46:00,80080.0,80080.0,80080.0,80080.0,10,17595,CU2509,1
2025-09-11 10:47:00,80080.0,80090.0,80080.0,80090.0,80,17565,CU2509,1
2025-09-11 10:48:00,80090.0,80090.0,80080.0,80080.0,30,17555,CU2509,1
