datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2020-01-02,49750.0,49790.0,49700.0,49720.0,7,71,49750.0,CU2012,copper,CU2012
2020-01-03,49500.0,49590.0,49330.0,49380.0,70,112,49530.0,CU2012,copper,CU2012
2020-01-06,49090.0,49490.0,49080.0,49320.0,124,197,49280.0,CU2012,copper,CU2012
2020-01-07,49410.0,49520.0,49310.0,49480.0,76,264,49490.0,CU2012,copper,CU2012
2020-01-08,49450.0,49550.0,49300.0,49450.0,76,316,49420.0,CU2012,copper,CU2012
2020-01-09,49660.0,49700.0,49390.0,49390.0,48,341,49630.0,CU2012,copper,CU2012
2020-01-13,49690.0,49690.0,49420.0,49420.0,7,343,49480.0,CU2012,copper,CU2012
2020-01-14,49580.0,49900.0,49580.0,49750.0,28,344,49800.0,CU2012,copper,CU2012
2020-01-15,49980.0,50050.0,49710.0,49710.0,79,372,49870.0,CU2012,copper,CU2012
2020-01-16,49800.0,49800.0,49700.0,49700.0,41,404,49710.0,CU2012,copper,CU2012
2020-01-17,49920.0,50030.0,49690.0,49690.0,37,412,49860.0,CU2012,copper,CU2012
2020-01-20,49550.0,49550.0,49550.0,49550.0,1,412,49550.0,CU2012,copper,CU2012
2020-01-21,49550.0,49550.0,48880.0,48940.0,81,464,49220.0,CU2012,copper,CU2012
2020-01-22,48940.0,49120.0,48940.0,49080.0,31,482,49030.0,CU2012,copper,CU2012
2020-01-23,48850.0,48850.0,48540.0,48560.0,92,544,48620.0,CU2012,copper,CU2012
2020-02-03,45230.0,46400.0,45220.0,45980.0,316,702,45760.0,CU2012,copper,CU2012
2020-02-04,45980.0,46200.0,45910.0,46140.0,324,975,46030.0,CU2012,copper,CU2012
2020-02-05,46150.0,46490.0,46150.0,46420.0,165,1082,46340.0,CU2012,copper,CU2012
2020-02-06,46540.0,47020.0,46520.0,46950.0,197,1211,46800.0,CU2012,copper,CU2012
2020-02-07,46600.0,46600.0,46440.0,46440.0,144,1275,46550.0,CU2012,copper,CU2012
2020-02-10,46320.0,46340.0,46220.0,46280.0,105,1338,46290.0,CU2012,copper,CU2012
2020-02-11,46360.0,46430.0,46330.0,46400.0,42,1324,46400.0,CU2012,copper,CU2012
2020-02-12,46460.0,46470.0,46340.0,46350.0,108,1339,46400.0,CU2012,copper,CU2012
2020-02-13,46470.0,46660.0,46450.0,46570.0,71,1329,46530.0,CU2012,copper,CU2012
