datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2020-09-16,52430.0,52430.0,52200.0,52200.0,3,3,52270.0,CU2109,copper,CU2109
2020-09-17,51960.0,51960.0,51850.0,51850.0,3,4,51880.0,CU2109,copper,CU2109
2020-09-18,52180.0,52650.0,52040.0,52650.0,11,8,52410.0,CU2109,copper,CU2109
2020-09-21,52460.0,52460.0,52460.0,52460.0,1,9,52460.0,CU2109,copper,CU2109
2020-09-22,52590.0,52590.0,51650.0,52420.0,11,16,52170.0,CU2109,copper,CU2109
2020-09-23,52640.0,52640.0,51350.0,51700.0,46,32,52090.0,CU2109,copper,CU2109
2020-09-24,51590.0,51600.0,51040.0,51100.0,6,32,51320.0,CU2109,copper,CU2109
2020-09-25,50680.0,51420.0,50320.0,51420.0,14,30,50920.0,CU2109,copper,CU2109
2020-09-28,51030.0,51750.0,51030.0,51750.0,5,30,51320.0,CU2109,copper,CU2109
2020-09-30,50700.0,51970.0,50700.0,51360.0,26,33,51290.0,CU2109,copper,CU2109
2020-10-09,51880.0,51880.0,51620.0,51620.0,4,32,51700.0,CU2109,copper,CU2109
2020-10-12,51850.0,51850.0,51470.0,51800.0,9,32,51700.0,CU2109,copper,CU2109
2020-10-13,51830.0,51830.0,51750.0,51750.0,2,32,51790.0,CU2109,copper,CU2109
2020-10-14,51640.0,51950.0,51610.0,51950.0,89,94,51790.0,CU2109,copper,CU2109
2020-10-15,51690.0,51710.0,51680.0,51710.0,9,94,51690.0,CU2109,copper,CU2109
2020-10-16,52050.0,52080.0,51810.0,51810.0,8,96,52010.0,CU2109,copper,CU2109
2020-10-19,51770.0,51830.0,51740.0,51830.0,4,97,51770.0,CU2109,copper,CU2109
2020-10-20,51630.0,52260.0,51610.0,51680.0,83,102,51900.0,CU2109,copper,CU2109
2020-10-21,52230.0,52630.0,52110.0,52610.0,32,100,52390.0,CU2109,copper,CU2109
2020-10-22,53000.0,53050.0,52660.0,52700.0,114,169,52970.0,CU2109,copper,CU2109
2020-10-23,52390.0,52510.0,52300.0,52510.0,12,169,52400.0,CU2109,copper,CU2109
2020-10-26,52510.0,52510.0,52300.0,52300.0,29,168,52320.0,CU2109,copper,CU2109
2020-10-27,52090.0,52090.0,52000.0,52000.0,71,147,52000.0,CU2109,copper,CU2109
2020-10-28,52390.0,52460.0,52360.0,52360.0,14,159,52440.0,CU2109,copper,CU2109
2020-10-29,51920.0,52080.0,51800.0,52080.0,12,159,52010.0,CU2109,copper,CU2109
2020-10-30,51800.0,51900.0,51690.0,51690.0,15,167,51810.0,CU2109,copper,CU2109
2020-11-02,51890.0,51890.0,51260.0,51690.0,19,169,51560.0,CU2109,copper,CU2109
2020-11-03,51970.0,52080.0,51850.0,52060.0,11,167,51920.0,CU2109,copper,CU2109
2020-11-04,52000.0,52100.0,51940.0,51940.0,8,164,52040.0,CU2109,copper,CU2109
2020-11-05,51880.0,52080.0,51880.0,51940.0,4,167,51980.0,CU2109,copper,CU2109
2020-11-06,51950.0,52020.0,51690.0,51920.0,18,168,51940.0,CU2109,copper,CU2109
2020-11-09,52440.0,52460.0,52110.0,52110.0,6,171,52360.0,CU2109,copper,CU2109
2020-11-10,52380.0,52870.0,52090.0,52130.0,28,172,52560.0,CU2109,copper,CU2109
2020-11-11,51920.0,52450.0,51840.0,52340.0,33,184,52290.0,CU2109,copper,CU2109
2020-11-12,52330.0,52330.0,52130.0,52290.0,13,184,52210.0,CU2109,copper,CU2109
2020-11-13,52260.0,52580.0,52260.0,52570.0,18,186,52460.0,CU2109,copper,CU2109
2020-11-16,52740.0,54060.0,52740.0,54010.0,131,190,53890.0,CU2109,copper,CU2109
2020-11-17,53890.0,53930.0,53120.0,53350.0,56,220,53490.0,CU2109,copper,CU2109
2020-11-18,53060.0,53400.0,52970.0,53360.0,140,205,53030.0,CU2109,copper,CU2109
2020-11-19,53350.0,53480.0,53010.0,53010.0,14,206,53220.0,CU2109,copper,CU2109
2020-11-20,53280.0,53850.0,53280.0,53780.0,17,210,53510.0,CU2109,copper,CU2109
2020-11-23,54200.0,54700.0,53990.0,54270.0,61,211,54350.0,CU2109,copper,CU2109
2020-11-24,54180.0,54970.0,54140.0,54970.0,69,224,54480.0,CU2109,copper,CU2109
2020-11-25,54890.0,55220.0,54760.0,54770.0,181,259,55100.0,CU2109,copper,CU2109
2020-11-26,54910.0,55320.0,54820.0,55320.0,107,293,55220.0,CU2109,copper,CU2109
2020-11-27,55210.0,56000.0,55210.0,56000.0,98,354,55700.0,CU2109,copper,CU2109
2020-11-30,56110.0,57610.0,56050.0,57610.0,122,368,57100.0,CU2109,copper,CU2109
2020-12-01,57690.0,57830.0,56830.0,56960.0,88,391,57260.0,CU2109,copper,CU2109
2020-12-02,57550.0,57710.0,57060.0,57420.0,47,395,57240.0,CU2109,copper,CU2109
2020-12-03,56920.0,57270.0,56760.0,56870.0,67,398,56960.0,CU2109,copper,CU2109
2020-12-04,57110.0,57600.0,56800.0,57600.0,124,416,57280.0,CU2109,copper,CU2109
2020-12-07,57450.0,57710.0,57100.0,57220.0,14,418,57380.0,CU2109,copper,CU2109
2020-12-08,56960.0,57250.0,56950.0,57090.0,24,416,57060.0,CU2109,copper,CU2109
2020-12-09,56880.0,57610.0,56880.0,57360.0,141,532,57450.0,CU2109,copper,CU2109
2020-12-10,57420.0,57550.0,57000.0,57480.0,209,537,57320.0,CU2109,copper,CU2109
2020-12-11,57650.0,59240.0,57360.0,58040.0,192,580,58260.0,CU2109,copper,CU2109
2020-12-14,57890.0,58210.0,57520.0,58100.0,47,600,57960.0,CU2109,copper,CU2109
2020-12-15,57940.0,58050.0,57680.0,57970.0,56,617,57900.0,CU2109,copper,CU2109
2020-12-16,58080.0,58300.0,57800.0,58120.0,168,625,58120.0,CU2109,copper,CU2109
2020-12-17,58280.0,58820.0,58200.0,58820.0,182,686,58520.0,CU2109,copper,CU2109
2020-12-18,59000.0,59700.0,58810.0,59440.0,49,687,59250.0,CU2109,copper,CU2109
2020-12-21,59680.0,59690.0,59010.0,59460.0,96,700,59410.0,CU2109,copper,CU2109
2020-12-22,58790.0,59060.0,58150.0,58150.0,134,711,58540.0,CU2109,copper,CU2109
2020-12-23,58040.0,58180.0,57410.0,58050.0,125,755,57830.0,CU2109,copper,CU2109
2020-12-24,58320.0,58730.0,58250.0,58320.0,51,743,58380.0,CU2109,copper,CU2109
2020-12-25,58200.0,58750.0,58200.0,58730.0,75,759,58630.0,CU2109,copper,CU2109
2020-12-28,58550.0,59310.0,58550.0,59040.0,31,750,58960.0,CU2109,copper,CU2109
2020-12-29,59020.0,59060.0,58280.0,58430.0,98,706,58640.0,CU2109,copper,CU2109
2020-12-30,58480.0,58750.0,58340.0,58640.0,42,717,58590.0,CU2109,copper,CU2109
2020-12-31,58450.0,58530.0,58050.0,58090.0,84,750,58140.0,CU2109,copper,CU2109
2021-01-04,58270.0,58590.0,58210.0,58590.0,26,757,58370.0,CU2109,copper,CU2109
2021-01-05,58780.0,58850.0,58100.0,58500.0,56,777,58410.0,CU2109,copper,CU2109
2021-01-06,58550.0,59470.0,58480.0,59280.0,122,798,59240.0,CU2109,copper,CU2109
2021-01-07,59660.0,59700.0,59210.0,59590.0,165,797,59500.0,CU2109,copper,CU2109
2021-01-08,59560.0,60770.0,59430.0,60560.0,225,864,60320.0,CU2109,copper,CU2109
2021-01-11,60560.0,60560.0,58880.0,58910.0,389,782,59230.0,CU2109,copper,CU2109
2021-01-12,58720.0,59030.0,58200.0,58940.0,459,550,58450.0,CU2109,copper,CU2109
2021-01-13,59190.0,59310.0,58880.0,58880.0,68,553,59120.0,CU2109,copper,CU2109
2021-01-14,58880.0,59110.0,58740.0,58970.0,30,558,58970.0,CU2109,copper,CU2109
2021-01-15,59230.0,59910.0,58870.0,58870.0,72,575,59570.0,CU2109,copper,CU2109
2021-01-18,59020.0,59500.0,58590.0,59500.0,83,593,59000.0,CU2109,copper,CU2109
2021-01-19,59170.0,59360.0,58980.0,59100.0,36,599,59220.0,CU2109,copper,CU2109
2021-01-20,59400.0,59600.0,59110.0,59320.0,10,601,59350.0,CU2109,copper,CU2109
2021-01-21,59230.0,59670.0,59010.0,59460.0,53,595,59400.0,CU2109,copper,CU2109
