datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2020-03-17,43570.0,43580.0,43570.0,43580.0,2,2,43570.0,CU2103,copper,CU2103
2020-03-18,42880.0,42990.0,40950.0,40950.0,262,181,41380.0,CU2103,copper,CU2103
2020-03-19,40100.0,40160.0,38890.0,38890.0,70,171,39250.0,CU2103,copper,CU2103
2020-03-20,39660.0,40360.0,38880.0,40330.0,258,156,39580.0,CU2103,copper,CU2103
2020-03-23,38500.0,38560.0,37000.0,38270.0,166,200,37940.0,CU2103,copper,CU2103
2020-03-24,39950.0,40030.0,38800.0,39310.0,84,203,39480.0,CU2103,copper,CU2103
2020-03-25,39960.0,40540.0,39870.0,40540.0,54,212,40110.0,CU2103,copper,CU2103
2020-03-26,40250.0,40270.0,39980.0,40000.0,63,224,40180.0,CU2103,copper,CU2103
2020-03-27,40300.0,40300.0,39820.0,39900.0,146,295,39900.0,CU2103,copper,CU2103
2020-03-30,39100.0,39640.0,39080.0,39550.0,61,299,39290.0,CU2103,copper,CU2103
2020-03-31,39970.0,39970.0,39870.0,39870.0,5,300,39930.0,CU2103,copper,CU2103
2020-04-01,40070.0,40160.0,39570.0,39600.0,55,319,39790.0,CU2103,copper,CU2103
2020-04-02,39400.0,40180.0,39190.0,40160.0,25,316,39670.0,CU2103,copper,CU2103
2020-04-03,40110.0,40760.0,40110.0,40580.0,30,324,40410.0,CU2103,copper,CU2103
2020-04-07,40640.0,41380.0,40640.0,41200.0,29,324,41110.0,CU2103,copper,CU2103
2020-04-08,40770.0,41450.0,40680.0,41250.0,30,326,41210.0,CU2103,copper,CU2103
2020-04-09,41400.0,41460.0,41200.0,41200.0,13,327,41300.0,CU2103,copper,CU2103
2020-04-10,41760.0,41860.0,41650.0,41750.0,4,327,41750.0,CU2103,copper,CU2103
2020-04-13,42160.0,42300.0,42050.0,42270.0,13,333,42130.0,CU2103,copper,CU2103
2020-04-14,42220.0,42370.0,42000.0,42140.0,15,332,42180.0,CU2103,copper,CU2103
2020-04-15,41990.0,42130.0,41680.0,42060.0,25,331,42020.0,CU2103,copper,CU2103
2020-04-16,41900.0,42000.0,41750.0,41940.0,34,333,41870.0,CU2103,copper,CU2103
2020-04-17,42400.0,42660.0,42400.0,42450.0,158,457,42480.0,CU2103,copper,CU2103
2020-04-20,42280.0,42680.0,42280.0,42620.0,47,460,42610.0,CU2103,copper,CU2103
2020-04-21,42220.0,42230.0,41490.0,41580.0,77,499,41690.0,CU2103,copper,CU2103
2020-04-22,41350.0,41350.0,40350.0,41170.0,77,495,40900.0,CU2103,copper,CU2103
2020-04-23,41550.0,41900.0,41550.0,41850.0,87,494,41800.0,CU2103,copper,CU2103
2020-04-24,41770.0,42030.0,41770.0,41810.0,24,496,41900.0,CU2103,copper,CU2103
2020-04-27,42180.0,42730.0,42180.0,42440.0,47,505,42490.0,CU2103,copper,CU2103
2020-04-28,42340.0,42460.0,42190.0,42460.0,21,511,42280.0,CU2103,copper,CU2103
2020-04-29,42520.0,42880.0,42520.0,42600.0,88,579,42680.0,CU2103,copper,CU2103
2020-04-30,42850.0,42990.0,42480.0,42860.0,166,636,42880.0,CU2103,copper,CU2103
2020-05-06,42640.0,42760.0,42530.0,42760.0,21,645,42610.0,CU2103,copper,CU2103
2020-05-07,42700.0,42970.0,42690.0,42970.0,25,647,42830.0,CU2103,copper,CU2103
2020-05-08,43360.0,43460.0,43050.0,43460.0,86,656,43350.0,CU2103,copper,CU2103
2020-05-11,43490.0,43690.0,43360.0,43410.0,25,657,43490.0,CU2103,copper,CU2103
2020-05-12,42850.0,43330.0,42850.0,42970.0,114,717,43040.0,CU2103,copper,CU2103
2020-05-13,43000.0,43000.0,42640.0,42930.0,119,747,42760.0,CU2103,copper,CU2103
2020-05-14,43120.0,43120.0,42760.0,42890.0,38,731,42880.0,CU2103,copper,CU2103
2020-05-15,42500.0,43120.0,42430.0,43030.0,63,722,43030.0,CU2103,copper,CU2103
2020-05-18,42680.0,43180.0,42660.0,43080.0,44,726,42870.0,CU2103,copper,CU2103
2020-05-19,43430.0,43960.0,39440.0,43630.0,129,758,43560.0,CU2103,copper,CU2103
2020-05-20,43590.0,43930.0,43590.0,43930.0,13,761,43750.0,CU2103,copper,CU2103
2020-05-21,43990.0,44550.0,43990.0,44350.0,54,771,44330.0,CU2103,copper,CU2103
2020-05-22,44440.0,44480.0,43460.0,43460.0,23,769,43890.0,CU2103,copper,CU2103
2020-05-25,43640.0,43820.0,43520.0,43820.0,31,772,43650.0,CU2103,copper,CU2103
2020-05-26,43960.0,43960.0,43870.0,43910.0,7,771,43900.0,CU2103,copper,CU2103
2020-05-27,44100.0,44100.0,43680.0,43680.0,55,759,43880.0,CU2103,copper,CU2103
2020-05-28,43580.0,43870.0,43580.0,43870.0,9,760,43800.0,CU2103,copper,CU2103
2020-05-29,44070.0,44140.0,44040.0,44090.0,84,734,44110.0,CU2103,copper,CU2103
2020-06-01,44180.0,44660.0,44050.0,44620.0,35,718,44480.0,CU2103,copper,CU2103
2020-06-02,44390.0,44790.0,44390.0,44740.0,15,716,44670.0,CU2103,copper,CU2103
2020-06-03,44880.0,45070.0,44850.0,44850.0,45,717,44870.0,CU2103,copper,CU2103
2020-06-04,44950.0,44950.0,44680.0,44850.0,10,719,44810.0,CU2103,copper,CU2103
2020-06-05,44980.0,45220.0,44980.0,45220.0,4,718,45100.0,CU2103,copper,CU2103
2020-06-08,45880.0,46010.0,45470.0,46010.0,21,722,45770.0,CU2103,copper,CU2103
2020-06-09,45960.0,46420.0,45860.0,46240.0,31,735,46210.0,CU2103,copper,CU2103
2020-06-10,46090.0,46970.0,46090.0,46820.0,35,750,46620.0,CU2103,copper,CU2103
2020-06-11,47360.0,47550.0,46660.0,46800.0,43,741,47140.0,CU2103,copper,CU2103
2020-06-12,46560.0,46990.0,46040.0,46910.0,80,769,46650.0,CU2103,copper,CU2103
2020-06-15,46990.0,47200.0,46170.0,46240.0,73,790,46730.0,CU2103,copper,CU2103
2020-06-16,46160.0,46970.0,46160.0,46900.0,35,793,46570.0,CU2103,copper,CU2103
2020-06-17,46500.0,46620.0,46330.0,46500.0,23,804,46510.0,CU2103,copper,CU2103
